,Store Name,Street Address,Borough,Year Awarded,Council District,NTA,2010 Census Bureau FIPS County Code,2010 NYC Borough Code,2010 Census Tract,PUMA,Code
140,AANDE DIRECT LLC,40 LEWIS AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,28700.0,4003.0,BK35
141,AANDE DIRECT LLC,40 LEWIS AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,28900.0,4003.0,BK35
142,AANDE DIRECT LLC,40 LEWIS AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,29100.0,4003.0,BK35
143,AANDE DIRECT LLC,40 LEWIS AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,29300.0,4003.0,BK35
144,AANDE DIRECT LLC,40 LEWIS AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,29500.0,4003.0,BK35
145,AANDE DIRECT LLC,40 LEWIS AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,37500.0,4003.0,BK35
146,AANDE DIRECT LLC,40 LEWIS AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,37700.0,4003.0,BK35
147,AANDE DIRECT LLC,40 LEWIS AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,37900.0,4003.0,BK35
148,AANDE DIRECT LLC,40 LEWIS AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,38300.0,4003.0,BK35
149,AANDE DIRECT LLC,40 LEWIS AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,38500.0,4003.0,BK35
150,AANDE DIRECT LLC,40 LEWIS AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,38700.0,4003.0,BK35
151,JRM DELI GROCERY CORP,98 MARCUS GARVEY BLVD,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,27300.0,4003.0,BK35
152,JRM DELI GROCERY CORP,98 MARCUS GARVEY BLVD,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,27500.0,4003.0,BK35
153,JRM DELI GROCERY CORP,98 MARCUS GARVEY BLVD,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,27700.0,4003.0,BK35
154,JRM DELI GROCERY CORP,98 MARCUS GARVEY BLVD,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,27900.0,4003.0,BK35
155,JRM DELI GROCERY CORP,98 MARCUS GARVEY BLVD,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,28100.0,4003.0,BK35
156,JRM DELI GROCERY CORP,98 MARCUS GARVEY BLVD,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,28300.0,4003.0,BK35
157,JRM DELI GROCERY CORP,98 MARCUS GARVEY BLVD,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,28502.0,4003.0,BK35
158,JRM DELI GROCERY CORP,98 MARCUS GARVEY BLVD,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,28700.0,4003.0,BK35
159,JRM DELI GROCERY CORP,98 MARCUS GARVEY BLVD,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,28900.0,4003.0,BK35
160,JRM DELI GROCERY CORP,98 MARCUS GARVEY BLVD,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,29100.0,4003.0,BK35
161,JRM DELI GROCERY CORP,98 MARCUS GARVEY BLVD,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,29300.0,4003.0,BK35
162,JRM DELI GROCERY CORP,98 MARCUS GARVEY BLVD,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,29500.0,4003.0,BK35
163,JRM DELI GROCERY CORP,98 MARCUS GARVEY BLVD,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,37500.0,4003.0,BK35
164,JRM DELI GROCERY CORP,98 MARCUS GARVEY BLVD,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,37700.0,4003.0,BK35
165,JRM DELI GROCERY CORP,98 MARCUS GARVEY BLVD,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,37900.0,4003.0,BK35
166,JRM DELI GROCERY CORP,98 MARCUS GARVEY BLVD,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,38300.0,4003.0,BK35
167,JRM DELI GROCERY CORP,98 MARCUS GARVEY BLVD,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,38500.0,4003.0,BK35
168,JRM DELI GROCERY CORP,98 MARCUS GARVEY BLVD,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,38700.0,4003.0,BK35
169,AFS MARKET INC,1102 MYRTLE AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,27300.0,4003.0,BK35
170,AFS MARKET INC,1102 MYRTLE AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,27500.0,4003.0,BK35
